Level,Total,Next level,Difference
167,"22,222,320,000","255,000,000","2,040,000"
168,"22,477,320,000","257,040,000","2,040,000"
169,"22,734,360,000","259,080,000","2,040,000"
170,"22,993,440,000","261,120,000","2,040,000"
171,"23,254,560,000","263,160,000","2,040,000"
172,"23,517,720,000","265,200,000","2,040,000"
173,"23,782,920,000","267,240,000","2,040,000"
174,"24,050,160,000","269,280,000","2,040,000"
175,"24,319,440,000","271,320,000","2,040,000"
176,"24,590,760,000","273,360,000","2,040,000"
177,"24,864,120,000","275,400,000","2,040,000"
178,"25,139,520,000","277,440,000","2,040,000"
179,"25,416,960,000","279,480,000","2,040,000"
180,"25,696,440,000","281,520,000","2,040,000"
181,"25,977,960,000","283,560,000","2,040,000"
182,"26,261,520,000","285,600,000","2,040,000"
183,"26,547,120,000","287,640,000","2,040,000"
184,"26,834,760,000","289,680,000","2,040,000"
185,"27,124,440,000","291,720,000","2,040,000"
186,"27,416,160,000","293,760,000","2,040,000"
187,"27,709,920,000","295,800,000","2,040,000"
188,"28,005,720,000","297,840,000","2,040,000"
189,"28,303,560,000","299,880,000","2,040,000"
190,"28,603,440,000","301,920,000","2,040,000"
191,"28,905,360,000","303,960,000","2,040,000"
192,"29,209,320,000","306,000,000","2,040,000"
193,"29,515,320,000","308,040,000","2,040,000"
194,"29,823,360,000","310,080,000","2,040,000"
195,"30,133,440,000","312,120,000","2,040,000"
196,"30,445,560,000","314,160,000","2,040,000"
197,"30,759,720,000","316,200,000","2,040,000"
198,"31,075,920,000","318,240,000","2,040,000"
199,"31,394,160,000","320,280,000","2,040,000"
200,"31,714,440,000","322,320,000","2,040,000"
201,"32,036,760,000","324,360,000","2,040,000"
202,"32,361,120,000","326,400,000","2,040,000"
203,"32,687,520,000","328,440,000","2,040,000"
204,"33,015,960,000","330,480,000","2,040,000"
205,"33,346,440,000","332,520,000","2,040,000"
206,"33,678,960,000","334,560,000","2,040,000"
207,"34,013,520,000","336,600,000","2,040,000"
208,"34,350,120,000","338,640,000","2,040,000"
209,"34,688,760,000","340,680,000","2,040,000"
210,"35,029,440,000","342,720,000","2,040,000"
211,"35,372,160,000","344,760,000","2,040,000"
212,"35,716,920,000","346,800,000","2,040,000"
213,"36,063,720,000","348,840,000","2,040,000"
214,"36,412,560,000","350,880,000","2,040,000"
215,"36,763,440,000","352,920,000","2,040,000"
216,"37,116,360,000","354,960,000","2,040,000"
217,"37,471,320,000","357,000,000","2,040,000"
218,"37,828,320,000","359,040,000","2,040,000"
219,"38,187,360,000","361,080,000","2,040,000"
220,"38,548,440,000","363,120,000","2,040,000"
221,"38,911,560,000","365,160,000","2,040,000"
222,"39,276,720,000","367,200,000","2,040,000"
223,"39,643,920,000","369,240,000","2,040,000"
224,"40,013,160,000","371,280,000","2,040,000"
225,"40,384,440,000","373,320,000","2,040,000"
226,"40,757,760,000","375,360,000","2,040,000"
227,"41,133,120,000","377,400,000","2,040,000"
228,"41,510,520,000","379,440,000","2,040,000"
229,"41,889,960,000","381,480,000","2,040,000"
230,"42,271,440,000","383,520,000","2,040,000"
231,"42,654,960,000","385,560,000","2,040,000"
232,"43,040,520,000","387,600,000","2,040,000"
233,"43,428,120,000","389,640,000","2,040,000"
234,"43,817,760,000","391,680,000","2,040,000"
235,"44,209,440,000","393,720,000","2,040,000"
236,"44,603,160,000","395,760,000","2,040,000"
237,"44,998,920,000","397,800,000","2,040,000"
238,"45,396,720,000","399,840,000","2,040,000"
239,"45,796,560,000","401,880,000","2,040,000"
240,"46,198,440,000","403,920,000","2,040,000"
241,"46,602,360,000","405,960,000","2,040,000"
242,"47,008,320,000","408,000,000","2,040,000"
243,"47,416,320,000","410,040,000","2,040,000"
244,"47,826,360,000","412,080,000","2,040,000"
245,"48,238,440,000","414,120,000","2,040,000"
246,"48,652,560,000","416,160,000","2,040,000"
247,"49,068,720,000","418,200,000","2,040,000"
248,"49,486,920,000","420,240,000","2,040,000"
249,"49,907,160,000","422,280,000","2,040,000"
250,"50,329,440,000","426,360,000","4,080,000"
251,"50,755,800,000","430,440,000","4,080,000"
252,"51,186,240,000","434,520,000","4,080,000"
253,"51,620,760,000","438,600,000","4,080,000"
254,"52,059,360,000","442,680,000","4,080,000"
255,"52,502,040,000","446,760,000","4,080,000"
256,"52,948,800,000","450,840,000","4,080,000"
257,"53,399,640,000","454,920,000","4,080,000"
258,"53,854,560,000","459,000,000","4,080,000"
259,"54,313,560,000","463,080,000","4,080,000"
260,"54,776,640,000","467,160,000","4,080,000"
261,"55,243,800,000","471,240,000","4,080,000"
262,"55,715,040,000","475,320,000","4,080,000"
263,"56,190,360,000","479,400,000","4,080,000"
264,"56,669,760,000","483,480,000","4,080,000"
265,"57,153,240,000","487,560,000","4,080,000"
266,"57,640,800,000","491,640,000","4,080,000"
267,"58,132,440,000","495,720,000","4,080,000"
268,"58,628,160,000","499,800,000","4,080,000"
269,"59,127,960,000","503,880,000","4,080,000"
270,"59,631,840,000","507,960,000","4,080,000"
271,"60,139,800,000","512,040,000","4,080,000"
272,"60,651,840,000","516,120,000","4,080,000"
273,"61,167,960,000","520,200,000","4,080,000"
274,"61,688,160,000","524,280,000","4,080,000"
275,"62,212,440,000","528,360,000","4,080,000"
276,"62,740,800,000","532,440,000","4,080,000"
277,"63,273,240,000","536,520,000","4,080,000"
278,"63,809,760,000","540,600,000","4,080,000"
279,"64,350,360,000","544,680,000","4,080,000"
280,"64,895,040,000","548,760,000","4,080,000"
281,"65,443,800,000","552,840,000","4,080,000"
282,"65,996,640,000","556,920,000","4,080,000"
283,"66,553,560,000","561,000,000","4,080,000"
284,"67,114,560,000","565,080,000","4,080,000"
285,"67,679,640,000","569,160,000","4,080,000"
286,"68,248,800,000","573,240,000","4,080,000"
287,"68,822,040,000","577,320,000","4,080,000"
288,"69,399,360,000","581,400,000","4,080,000"
289,"69,980,760,000","585,480,000","4,080,000"
290,"70,566,240,000","589,560,000","4,080,000"
291,"71,155,800,000","593,640,000","4,080,000"
292,"71,749,440,000","597,720,000","4,080,000"
293,"72,347,160,000","601,800,000","4,080,000"
294,"72,948,960,000","605,880,000","4,080,000"
295,"73,554,840,000","609,960,000","4,080,000"
296,"74,164,800,000","614,040,000","4,080,000"
297,"74,778,840,000","618,120,000","4,080,000"
298,"75,396,960,000","622,200,000","4,080,000"
299,"76,019,160,000","626,280,000","4,080,000"
300,"76,645,440,000","630,360,000","4,080,000"
301,"77,275,800,000","634,440,000","4,080,000"
302,"77,910,240,000","638,520,000","4,080,000"
303,"78,548,760,000","642,600,000","4,080,000"
304,"79,191,360,000","646,680,000","4,080,000"
305,"79,838,040,000","650,760,000","4,080,000"
306,"80,488,800,000","654,840,000","4,080,000"
307,"81,143,640,000","658,920,000","4,080,000"
308,"81,802,560,000","663,000,000","4,080,000"
309,"82,465,560,000","667,080,000","4,080,000"
310,"83,132,640,000","671,160,000","4,080,000"
311,"83,803,800,000","675,240,000","4,080,000"
312,"84,479,040,000","679,320,000","4,080,000"
313,"85,158,360,000","683,400,000","4,080,000"
314,"85,841,760,000","687,480,000","4,080,000"
315,"86,529,240,000","691,560,000","4,080,000"
316,"87,220,800,000","695,640,000","4,080,000"
317,"87,916,440,000","699,720,000","4,080,000"
318,"88,616,160,000","703,800,000","4,080,000"
319,"89,319,960,000","707,880,000","4,080,000"
320,"90,027,840,000","711,960,000","4,080,000"
321,"90,739,800,000","716,040,000","4,080,000"
322,"91,455,840,000","720,120,000","4,080,000"
323,"92,175,960,000","724,200,000","4,080,000"
324,"92,900,160,000","728,280,000","4,080,000"
325,"93,628,440,000","732,360,000","4,080,000"
326,"94,360,800,000","736,440,000","4,080,000"
327,"95,097,240,000","740,520,000","4,080,000"
328,"95,837,760,000","744,600,000","4,080,000"
329,"96,582,360,000","748,680,000","4,080,000"
330,"97,331,040,000","752,760,000","4,080,000"
331,"98,083,800,000","756,840,000","4,080,000"
332,"98,840,640,000","760,920,000","4,080,000"
333,"99,601,560,000","765,000,000","4,080,000"
334,"100,366,560,000","769,080,000","4,080,000"
335,"101,135,640,000","773,160,000","4,080,000"
336,"101,908,800,000","777,240,000","4,080,000"
337,"102,686,040,000","781,320,000","4,080,000"
338,"103,467,360,000","785,400,000","4,080,000"
339,"104,252,760,000","789,480,000","4,080,000"
340,"105,042,240,000","793,560,000","4,080,000"
341,"105,835,800,000","797,640,000","4,080,000"
342,"106,633,440,000","801,720,000","4,080,000"
343,"107,435,160,000","805,800,000","4,080,000"
344,"108,240,960,000","809,880,000","4,080,000"
345,"109,050,840,000","813,960,000","4,080,000"
346,"109,864,800,000","818,040,000","4,080,000"
347,"110,682,840,000","822,120,000","4,080,000"
348,"111,504,960,000","826,200,000","4,080,000"
349,"112,331,160,000","830,280,000","4,080,000"
350,"113,161,440,000","836,400,000","6,120,000"
351,"113,997,840,000","842,520,000","6,120,000"
352,"114,840,360,000","848,640,000","6,120,000"
353,"115,689,000,000","854,760,000","6,120,000"
354,"116,543,760,000","860,880,000","6,120,000"
355,"117,404,640,000","867,000,000","6,120,000"
356,"118,271,640,000","873,120,000","6,120,000"
357,"119,144,760,000","879,240,000","6,120,000"
358,"120,024,000,000","885,360,000","6,120,000"
359,"120,909,360,000","891,480,000","6,120,000"
360,"121,800,840,000","897,600,000","6,120,000"
361,"122,698,440,000","903,720,000","6,120,000"
362,"123,602,160,000","909,840,000","6,120,000"
363,"124,512,000,000","915,960,000","6,120,000"
364,"125,427,960,000","922,080,000","6,120,000"
365,"126,350,040,000","928,200,000","6,120,000"
366,"127,278,240,000","934,320,000","6,120,000"
367,"128,212,560,000","940,440,000","6,120,000"
368,"129,153,000,000","946,560,000","6,120,000"
369,"130,099,560,000","952,680,000","6,120,000"
370,"131,052,240,000","958,800,000","6,120,000"
371,"132,011,040,000","964,920,000","6,120,000"
372,"132,975,960,000","971,040,000","6,120,000"
373,"133,947,000,000","977,160,000","6,120,000"
374,"134,924,160,000","983,280,000","6,120,000"
375,"135,907,440,000","989,400,000","6,120,000"
376,"136,896,840,000","995,520,000","6,120,000"
377,"137,892,360,000","1,001,640,000","6,120,000"
378,"138,894,000,000","1,007,760,000","6,120,000"
379,"139,901,760,000","1,013,880,000","6,120,000"
380,"140,915,640,000","1,020,000,000","6,120,000"
381,"141,935,640,000","1,026,120,000","6,120,000"
382,"142,961,760,000","1,032,240,000","6,120,000"
383,"143,994,000,000","1,038,360,000","6,120,000"
384,"145,032,360,000","1,044,480,000","6,120,000"
385,"146,076,840,000","1,050,600,000","6,120,000"
386,"147,127,440,000","1,056,720,000","6,120,000"
387,"148,184,160,000","1,062,840,000","6,120,000"
388,"149,247,000,000","1,068,960,000","6,120,000"
389,"150,315,960,000","1,075,080,000","6,120,000"
390,"151,391,040,000","1,081,200,000","6,120,000"
391,"152,472,240,000","1,087,320,000","6,120,000"
392,"153,559,560,000","1,093,440,000","6,120,000"
393,"154,653,000,000","1,099,560,000","6,120,000"
394,"155,752,560,000","1,105,680,000","6,120,000"
395,"156,858,240,000","1,111,800,000","6,120,000"
396,"157,970,040,000","1,117,920,000","6,120,000"
397,"159,087,960,000","1,124,040,000","6,120,000"
398,"160,212,000,000","1,130,160,000","6,120,000"
399,"161,342,160,000","1,136,280,000","6,120,000"
400,"162,478,440,000","1,142,400,000","6,120,000"
401,"163,620,840,000","1,148,520,000","6,120,000"
402,"164,769,360,000","1,154,640,000","6,120,000"
403,"165,924,000,000","1,160,760,000","6,120,000"
404,"167,084,760,000","1,166,880,000","6,120,000"
405,"168,251,640,000","1,173,000,000","6,120,000"
406,"169,424,640,000","1,179,120,000","6,120,000"
407,"170,603,760,000","1,185,240,000","6,120,000"
408,"171,789,000,000","1,191,360,000","6,120,000"
409,"172,980,360,000","1,197,480,000","6,120,000"
410,"174,177,840,000","1,203,600,000","6,120,000"
411,"175,381,440,000","1,209,720,000","6,120,000"
412,"176,591,160,000","1,215,840,000","6,120,000"
413,"177,807,000,000","1,221,960,000","6,120,000"
414,"179,028,960,000","1,228,080,000","6,120,000"
415,"180,257,040,000","1,234,200,000","6,120,000"
416,"181,491,240,000","1,240,320,000","6,120,000"
417,"182,731,560,000","1,246,440,000","6,120,000"
418,"183,978,000,000","1,252,560,000","6,120,000"
419,"185,230,560,000","1,258,680,000","6,120,000"
420,"186,489,240,000","1,264,800,000","6,120,000"
421,"187,754,040,000","1,270,920,000","6,120,000"
422,"189,024,960,000","1,277,040,000","6,120,000"
423,"190,302,000,000","1,283,160,000","6,120,000"
424,"191,585,160,000","1,289,280,000","6,120,000"
425,"192,874,440,000","1,295,400,000","6,120,000"
426,"194,169,840,000","1,301,520,000","6,120,000"
427,"195,471,360,000","1,307,640,000","6,120,000"
428,"196,779,000,000","1,313,760,000","6,120,000"
429,"198,092,760,000","1,319,880,000","6,120,000"
430,"199,412,640,000","1,326,000,000","6,120,000"
431,"200,738,640,000","1,332,120,000","6,120,000"
432,"202,070,760,000","1,338,240,000","6,120,000"
433,"203,409,000,000","1,344,360,000","6,120,000"
434,"204,753,360,000","1,350,480,000","6,120,000"
435,"206,103,840,000","1,356,600,000","6,120,000"
436,"207,460,440,000","1,362,720,000","6,120,000"
437,"208,823,160,000","1,368,840,000","6,120,000"
438,"210,192,000,000","1,374,960,000","6,120,000"
439,"211,566,960,000","1,381,080,000","6,120,000"
440,"212,948,040,000","1,387,200,000","6,120,000"
441,"214,335,240,000","1,393,320,000","6,120,000"
442,"215,728,560,000","1,399,440,000","6,120,000"
443,"217,128,000,000","1,405,560,000","6,120,000"
444,"218,533,560,000","1,411,680,000","6,120,000"
445,"219,945,240,000","1,417,800,000","6,120,000"
446,"221,363,040,000","1,423,920,000","6,120,000"
447,"222,786,960,000","1,430,040,000","6,120,000"
448,"224,217,000,000","1,436,160,000","6,120,000"
449,"225,653,160,000","1,444,320,000","8,160,000"
450,"227,097,480,000","1,452,480,000","8,160,000"
451,"228,549,960,000","1,460,640,000","8,160,000"
452,"230,010,600,000","1,468,800,000","8,160,000"
453,"231,479,400,000","1,476,960,000","8,160,000"
454,"232,956,360,000","1,485,120,000","8,160,000"
455,"234,441,480,000","1,493,280,000","8,160,000"
456,"235,934,760,000","1,501,440,000","8,160,000"
457,"237,436,200,000","1,509,600,000","8,160,000"
458,"238,945,800,000","1,517,760,000","8,160,000"
459,"240,463,560,000","1,525,920,000","8,160,000"
460,"241,989,480,000","1,534,080,000","8,160,000"
461,"243,523,560,000","1,542,240,000","8,160,000"
462,"245,065,800,000","1,550,400,000","8,160,000"
463,"246,616,200,000","1,558,560,000","8,160,000"
464,"248,174,760,000","1,566,720,000","8,160,000"
465,"249,741,480,000","1,574,880,000","8,160,000"
466,"251,316,360,000","1,583,040,000","8,160,000"
467,"252,899,400,000","1,591,200,000","8,160,000"
468,"254,490,600,000","1,599,360,000","8,160,000"
469,"256,089,960,000","1,607,520,000","8,160,000"
470,"257,697,480,000","1,615,680,000","8,160,000"
471,"259,313,160,000","1,623,840,000","8,160,000"
472,"260,937,000,000","1,632,000,000","8,160,000"
473,"262,569,000,000","1,640,160,000","8,160,000"
474,"264,209,160,000","1,648,320,000","8,160,000"
475,"265,857,480,000","1,656,480,000","8,160,000"
476,"267,513,960,000","1,664,640,000","8,160,000"
477,"269,178,600,000","1,672,800,000","8,160,000"
478,"270,851,400,000","1,680,960,000","8,160,000"
479,"272,532,360,000","1,689,120,000","8,160,000"
480,"274,221,480,000","1,697,280,000","8,160,000"
481,"275,918,760,000","1,705,440,000","8,160,000"
482,"277,624,200,000","1,713,600,000","8,160,000"
483,"279,337,800,000","1,721,760,000","8,160,000"
484,"281,059,560,000","1,729,920,000","8,160,000"
485,"282,789,480,000","1,738,080,000","8,160,000"
486,"284,527,560,000","1,746,240,000","8,160,000"
487,"286,273,800,000","1,754,400,000","8,160,000"
488,"288,028,200,000","1,762,560,000","8,160,000"
489,"289,790,760,000","1,770,720,000","8,160,000"
490,"291,561,480,000","1,778,880,000","8,160,000"
491,"293,340,360,000","1,787,040,000","8,160,000"
492,"295,127,400,000","1,795,200,000","8,160,000"
493,"296,922,600,000","1,803,360,000","8,160,000"
494,"298,725,960,000","1,811,520,000","8,160,000"
495,"300,537,480,000","1,819,680,000","8,160,000"
496,"302,357,160,000","1,827,840,000","8,160,000"
497,"304,185,000,000","1,836,000,000","8,160,000"
498,"306,021,000,000","1,844,160,000","8,160,000"
499,"307,865,160,000","1,852,320,000","8,160,000"
500,"309,717,480,000","1,872,720,000","20,400,000"
501,"311,590,200,000","1,893,120,000","20,400,000"
502,"313,483,320,000","1,913,520,000","20,400,000"
503,"315,396,840,000","1,933,920,000","20,400,000"
504,"317,330,760,000","1,954,320,000","20,400,000"
505,"319,285,080,000","1,974,720,000","20,400,000"
506,"321,259,800,000","1,995,120,000","20,400,000"
507,"323,254,920,000","2,015,520,000","20,400,000"
508,"325,270,440,000","2,035,920,000","20,400,000"
509,"327,306,360,000","2,056,320,000","20,400,000"
510,"329,362,680,000","2,076,720,000","20,400,000"
511,"331,439,400,000","2,097,120,000","20,400,000"
512,"333,536,520,000","2,117,520,000","20,400,000"
513,"335,654,040,000","2,137,920,000","20,400,000"
514,"337,791,960,000","2,158,320,000","20,400,000"
515,"339,950,280,000","2,178,720,000","20,400,000"
516,"342,129,000,000","2,199,120,000","20,400,000"
517,"344,328,120,000","2,219,520,000","20,400,000"
518,"346,547,640,000","2,239,920,000","20,400,000"
519,"348,787,560,000","2,260,320,000","20,400,000"
520,"351,047,880,000","2,280,720,000","20,400,000"
521,"353,328,600,000","2,301,120,000","20,400,000"
522,"355,629,720,000","2,321,520,000","20,400,000"
523,"357,951,240,000","2,341,920,000","20,400,000"
524,"360,293,160,000","2,362,320,000","20,400,000"
525,"362,655,480,000","2,382,720,000","20,400,000"
526,"365,038,200,000","2,403,120,000","20,400,000"
527,"367,441,320,000","2,423,520,000","20,400,000"
528,"369,864,840,000","2,443,920,000","20,400,000"
529,"372,308,760,000","2,464,320,000","20,400,000"
530,"374,773,080,000","2,484,720,000","20,400,000"
531,"377,257,800,000","2,505,120,000","20,400,000"
532,"379,762,920,000","2,525,520,000","20,400,000"
533,"382,288,440,000","2,545,920,000","20,400,000"
534,"384,834,360,000","2,566,320,000","20,400,000"
535,"387,400,680,000","2,586,720,000","20,400,000"
536,"389,987,400,000","2,607,120,000","20,400,000"
537,"392,594,520,000","2,627,520,000","20,400,000"
538,"395,222,040,000","2,647,920,000","20,400,000"
539,"397,869,960,000","2,668,320,000","20,400,000"
540,"400,538,280,000","2,688,720,000","20,400,000"
541,"403,227,000,000","2,709,120,000","20,400,000"
542,"405,936,120,000","2,729,520,000","20,400,000"
543,"408,665,640,000","2,749,920,000","20,400,000"
544,"411,415,560,000","2,770,320,000","20,400,000"
545,"414,185,880,000","2,790,720,000","20,400,000"
546,"416,976,600,000","2,811,120,000","20,400,000"
547,"419,787,720,000","2,831,520,000","20,400,000"
548,"422,619,240,000","2,851,920,000","20,400,000"
549,"425,471,160,000","2,872,320,000","20,400,000"
550,"428,343,480,000","2,913,120,000","40,800,000"
551,"431,256,600,000","2,953,920,000","40,800,000"
552,"434,210,520,000","2,994,720,000","40,800,000"
553,"437,205,240,000","3,035,520,000","40,800,000"
554,"440,240,760,000","3,076,320,000","40,800,000"
555,"443,317,080,000","3,117,120,000","40,800,000"
556,"446,434,200,000","3,157,920,000","40,800,000"
557,"449,592,120,000","3,198,720,000","40,800,000"
558,"452,790,840,000","3,239,520,000","40,800,000"
559,"456,030,360,000","3,280,320,000","40,800,000"
560,"459,310,680,000","3,321,120,000","40,800,000"
561,"462,631,800,000","3,361,920,000","40,800,000"
562,"465,993,720,000","3,402,720,000","40,800,000"
563,"469,396,440,000","3,443,520,000","40,800,000"
564,"472,839,960,000","3,484,320,000","40,800,000"
565,"476,324,280,000","3,525,120,000","40,800,000"
566,"479,849,400,000","3,565,920,000","40,800,000"
567,"483,415,320,000","3,606,720,000","40,800,000"
568,"487,022,040,000","3,647,520,000","40,800,000"
